Job Title,Company Name,Location,Status,Skills Requirements
Signal Integrity & RF Systems Engineer,Ottawave -,"Cairo, Egypt ",InternshipRemote,InternshipRemoteStudent · IT/Software Development · Software Development · Matlab · Web Based · Python · OCTAVE · REST · HTML · CSS · Development
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,"Fleming, Alexandria, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · AI · NLP · Engineering · Information Technology (IT) · CUDA · Linux · Computer Science
System Administrator,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Engineering · MCSA · networks · LAN · Python
Software Engineer - Python and K8s,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeEntry Level · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Engineering · Computer Engineering · Software
DevOps Engineer,Prometeon tyres group – Egypt -,"Alexandria, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Ansible · AWS · Cloud · Computer Science · DevOps · Docker · Information Technology (IT)
Devops Engineer,eVision -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · AWS · Agile · Kubernetes · Software Development · Python · Information Technology (IT) · Engineering · Docker · DevOps
"PKI Operations Engineer ""Public Key Infrastructure""",El Delta Electronic Systems -,"Nasr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Infrastructure · Linux · Operations · Python · Troubleshooting · Engineering · Management
Odoo Implementer,Alwadi Holding -,"Mohandessin, Giza, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · ERP Implementation · Implementation · ERP · Information Technology (IT) · coding · Computer Science · Engineering · Odoo · Python
Senior Full Stack Developer,Mojaa -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Full Stack Development · React · Vibe Coding · AI · Azure · Product Development · API · graphQL · Windsurf
AI Agent Developr,Confidential -,"Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 5 - 5 Yrs of Exp · IT/Software Development · AI · Python · Agentic
Odoo System Administrator,Alexandria Trading and Engineering Bureau -,"Smouha, Alexandria, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Implementation · Information Technology (IT) · Odoo implementation · Odoo · ERP · Database · Consulting · Computer Science
